,b̥,ø,iː,s,d̥,ɕ,m,tʰ,ã,ĩ,uː,ɟ̊,ũː,p,r,ɔː,yː,ə,j,ʈ,ɲ,ɖ,a,ŋ,l̥ʰ,ɣ,n̚,aː,c,i,d͡z̥,ẽː,g,ʈʰ,t͡sʰ,d͡z,õ,ũ,ẽ,ʈ͡ʂ,w,ɖ͡ʐ,ĩː,n,kʰ,u,ỹ,cʰ,pʰ,b,h,ɛ̃,ɔ,ãː,k,t,ʈ͡ʂʰ,y,l,ʂ,ɛ,øː,əː,ɟ,ɖ̥,g̊,ø̃,t͡s,k̚,d,õː,e,p̚,o,ɛː,ɖ͡ʐ̊,ʔ,0
b̥,0.0,0.35135135135135137,0.40540540540540543,0.17567567567567569,0.12162162162162163,0.25675675675675674,0.0945945945945946,0.14864864864864866,0.3918918918918919,0.40540540540540543,0.3783783783783784,0.20270270270270271,0.40540540540540543,0.0,0.2702702702702703,0.3783783783783784,0.3783783783783784,0.3783783783783784,0.2972972972972973,0.12162162162162163,0.2972972972972973,0.14864864864864866,0.36486486486486486,0.22972972972972974,0.2702702702702703,0.21621621621621623,0.14864864864864866,0.3918918918918919,0.20270270270270271,0.3783783783783784,0.17567567567567569,0.43243243243243246,0.16216216216216217,0.14864864864864866,0.17567567567567569,0.17567567567567569,0.3783783783783784,0.3783783783783784,0.40540540540540543,0.14864864864864866,0.2702702702702703,0.17567567567567569,0.43243243243243246,0.21621621621621623,0.16216216216216217,0.35135135135135137,0.3783783783783784,0.22972972972972974,0.02702702702702703,0.02702702702702703,0.16216216216216217,0.40540540540540543,0.35135135135135137,0.4189189189189189,0.13513513513513514,0.12162162162162163,0.17567567567567569,0.35135135135135137,0.2702702702702703,0.17567567567567569,0.3783783783783784,0.3783783783783784,0.40540540540540543,0.22972972972972974,0.12162162162162163,0.13513513513513514,0.35135135135135137,0.14864864864864866,0.10810810810810811,0.14864864864864866,0.40540540540540543,0.3783783783783784,0.04054054054054054,0.35135135135135137,0.40540540540540543,0.17567567567567569,0.08108108108108109,0.12908322810920214
ø,0.35135135135135137,0.0,0.10810810810810811,0.4189189189189189,0.44594594594594594,0.36486486486486486,0.3108108108108108,0.47297297297297297,0.14864864864864866,0.10810810810810811,0.10810810810810811,0.3918918918918919,0.13513513513513514,0.35135135135135137,0.35135135135135137,0.10810810810810811,0.05405405405405406,0.10810810810810811,0.16216216216216217,0.44594594594594594,0.35135135135135137,0.4189189189189189,0.12162162162162163,0.3108108108108108,0.40540540540540543,0.2972972972972973,0.40540540540540543,0.14864864864864866,0.3918918918918919,0.08108108108108109,0.4189189189189189,0.10810810810810811,0.32432432432432434,0.47297297297297297,0.47297297297297297,0.4189189189189189,0.08108108108108109,0.10810810810810811,0.08108108108108109,0.44594594594594594,0.16216216216216217,0.4189189189189189,0.13513513513513514,0.40540540540540543,0.3783783783783784,0.08108108108108109,0.05405405405405406,0.4189189189189189,0.3783783783783784,0.32432432432432434,0.35135135135135137,0.10810810810810811,0.08108108108108109,0.17567567567567569,0.35135135135135137,0.44594594594594594,0.47297297297297297,0.02702702702702703,0.35135135135135137,0.4189189189189189,0.08108108108108109,0.02702702702702703,0.13513513513513514,0.36486486486486486,0.44594594594594594,0.35135135135135137,0.0,0.44594594594594594,0.3783783783783784,0.4189189189189189,0.10810810810810811,0.05405405405405406,0.3783783783783784,0.05405405405405406,0.10810810810810811,0.4189189189189189,0.40540540540540543,0.12908322810920214
iː,0.40540540540540543,0.10810810810810811,0.0,0.3918918918918919,0.4189189189189189,0.3108108108108108,0.36486486486486486,0.44594594594594594,0.14864864864864866,0.05405405405405406,0.10810810810810811,0.33783783783783783,0.13513513513513514,0.40540540540540543,0.32432432432432434,0.16216216216216217,0.05405405405405406,0.10810810810810811,0.10810810810810811,0.4189189189189189,0.2972972972972973,0.3918918918918919,0.12162162162162163,0.25675675675675674,0.3783783783783784,0.24324324324324326,0.3783783783783784,0.0945945945945946,0.33783783783783783,0.02702702702702703,0.3918918918918919,0.05405405405405406,0.2702702702702703,0.44594594594594594,0.44594594594594594,0.3918918918918919,0.1891891891891892,0.16216216216216217,0.08108108108108109,0.4189189189189189,0.21621621621621623,0.3918918918918919,0.02702702702702703,0.3783783783783784,0.32432432432432434,0.13513513513513514,0.10810810810810811,0.36486486486486486,0.43243243243243246,0.3783783783783784,0.32432432432432434,0.10810810810810811,0.1891891891891892,0.12162162162162163,0.2972972972972973,0.4189189189189189,0.44594594594594594,0.08108108108108109,0.32432432432432434,0.3918918918918919,0.08108108108108109,0.08108108108108109,0.08108108108108109,0.3108108108108108,0.4189189189189189,0.2972972972972973,0.10810810810810811,0.4189189189189189,0.33783783783783783,0.3918918918918919,0.16216216216216217,0.05405405405405406,0.3918918918918919,0.16216216216216217,0.05405405405405406,0.3918918918918919,0.3783783783783784,0.12908322810920214
s,0.17567567567567569,0.4189189189189189,0.3918918918918919,0.0,0.08108108108108109,0.10810810810810811,0.24324324324324326,0.10810810810810811,0.3783783783783784,0.3918918918918919,0.44594594594594594,0.21621621621621623,0.47297297297297297,0.17567567567567569,0.14864864864864866,0.44594594594594594,0.44594594594594594,0.36486486486486486,0.28378378378378377,0.10810810810810811,0.28378378378378377,0.13513513513513514,0.35135135135135137,0.2702702702702703,0.14864864864864866,0.17567567567567569,0.14864864864864866,0.3783783783783784,0.21621621621621623,0.36486486486486486,0.05405405405405406,0.4189189189189189,0.22972972972972974,0.13513513513513514,0.05405405405405406,0.05405405405405406,0.44594594594594594,0.44594594594594594,0.3918918918918919,0.05405405405405406,0.33783783783783783,0.08108108108108109,0.4189189189189189,0.14864864864864866,0.22972972972972974,0.4189189189189189,0.44594594594594594,0.24324324324324326,0.20270270270270271,0.20270270270270271,0.12162162162162163,0.3918918918918919,0.4189189189189189,0.40540540540540543,0.20270270270270271,0.08108108108108109,0.08108108108108109,0.4189189189189189,0.14864864864864866,0.02702702702702703,0.36486486486486486,0.44594594594594594,0.3918918918918919,0.24324324324324326,0.10810810810810811,0.20270270270270271,0.4189189189189189,0.02702702702702703,0.17567567567567569,0.10810810810810811,0.47297297297297297,0.36486486486486486,0.16216216216216217,0.4189189189189189,0.3918918918918919,0.08108108108108109,0.14864864864864866,0.12908322810920214
d̥,0.12162162162162163,0.44594594594594594,0.4189189189189189,0.08108108108108109,0.0,0.1891891891891892,0.21621621621621623,0.02702702702702703,0.40540540540540543,0.4189189189189189,0.47297297297297297,0.13513513513513514,0.5,0.12162162162162163,0.14864864864864866,0.47297297297297297,0.47297297297297297,0.3918918918918919,0.3108108108108108,0.02702702702702703,0.22972972972972974,0.05405405405405406,0.3783783783783784,0.24324324324324326,0.14864864864864866,0.22972972972972974,0.0945945945945946,0.40540540540540543,0.13513513513513514,0.3918918918918919,0.08108108108108109,0.44594594594594594,0.17567567567567569,0.05405405405405406,0.08108108108108109,0.08108108108108109,0.47297297297297297,0.47297297297297297,0.4189189189189189,0.08108108108108109,0.36486486486486486,0.10810810810810811,0.44594594594594594,0.0945945945945946,0.17567567567567569,0.44594594594594594,0.47297297297297297,0.16216216216216217,0.14864864864864866,0.14864864864864866,0.17567567567567569,0.4189189189189189,0.44594594594594594,0.43243243243243246,0.14864864864864866,0.0,0.10810810810810811,0.44594594594594594,0.14864864864864866,0.10810810810810811,0.3918918918918919,0.47297297297297297,0.4189189189189189,0.16216216216216217,0.02702702702702703,0.14864864864864866,0.44594594594594594,0.05405405405405406,0.12162162162162163,0.02702702702702703,0.5,0.3918918918918919,0.10810810810810811,0.44594594594594594,0.4189189189189189,0.10810810810810811,0.0945945945945946,0.12908322810920214
ɕ,0.25675675675675674,0.36486486486486486,0.3108108108108108,0.10810810810810811,0.1891891891891892,0.0,0.32432432432432434,0.21621621621621623,0.3783783783783784,0.3108108108108108,0.4189189189189189,0.10810810810810811,0.44594594594594594,0.25675675675675674,0.25675675675675674,0.44594594594594594,0.36486486486486486,0.33783783783783783,0.20270270270270271,0.21621621621621623,0.17567567567567569,0.24324324324324326,0.35135135135135137,0.21621621621621623,0.25675675675675674,0.12162162162162163,0.24324324324324326,0.3783783783783784,0.10810810810810811,0.28378378378378377,0.16216216216216217,0.36486486486486486,0.17567567567567569,0.24324324324324326,0.16216216216216217,0.16216216216216217,0.44594594594594594,0.4189189189189189,0.33783783783783783,0.16216216216216217,0.3108108108108108,0.1891891891891892,0.33783783783783783,0.25675675675675674,0.17567567567567569,0.3918918918918919,0.36486486486486486,0.13513513513513514,0.28378378378378377,0.28378378378378377,0.20270270270270271,0.33783783783783783,0.4189189189189189,0.40540540540540543,0.14864864864864866,0.1891891891891892,0.1891891891891892,0.33783783783783783,0.25675675675675674,0.13513513513513514,0.3108108108108108,0.3918918918918919,0.36486486486486486,0.13513513513513514,0.21621621621621623,0.14864864864864866,0.36486486486486486,0.13513513513513514,0.1891891891891892,0.21621621621621623,0.47297297297297297,0.3108108108108108,0.24324324324324326,0.4189189189189189,0.33783783783783783,0.1891891891891892,0.22972972972972974,0.12908322810920214
m,0.0945945945945946,0.3108108108108108,0.36486486486486486,0.24324324324324326,0.21621621621621623,0.32432432432432434,0.0,0.24324324324324326,0.2972972972972973,0.3108108108108108,0.33783783783783783,0.2972972972972973,0.3108108108108108,0.0945945945945946,0.22972972972972974,0.33783783783783783,0.33783783783783783,0.33783783783783783,0.25675675675675674,0.21621621621621623,0.20270270270270271,0.1891891891891892,0.32432432432432434,0.13513513513513514,0.28378378378378377,0.22972972972972974,0.14864864864864866,0.35135135135135137,0.2972972972972973,0.33783783783783783,0.1891891891891892,0.33783783783783783,0.20270270270270271,0.24324324324324326,0.24324324324324326,0.1891891891891892,0.28378378378378377,0.28378378378378377,0.3108108108108108,0.21621621621621623,0.22972972972972974,0.1891891891891892,0.33783783783783783,0.12162162162162163,0.25675675675675674,0.3108108108108108,0.28378378378378377,0.32432432432432434,0.12162162162162163,0.06756756756756757,0.22972972972972974,0.3108108108108108,0.3108108108108108,0.32432432432432434,0.22972972972972974,0.21621621621621623,0.24324324324324326,0.3108108108108108,0.22972972972972974,0.24324324324324326,0.33783783783783783,0.33783783783783783,0.36486486486486486,0.2702702702702703,0.21621621621621623,0.22972972972972974,0.3108108108108108,0.21621621621621623,0.20270270270270271,0.1891891891891892,0.3108108108108108,0.33783783783783783,0.13513513513513514,0.3108108108108108,0.36486486486486486,0.1891891891891892,0.17567567567567569,0.12908322810920214
tʰ,0.14864864864864866,0.47297297297297297,0.44594594594594594,0.10810810810810811,0.02702702702702703,0.21621621621621623,0.24324324324324326,0.0,0.43243243243243246,0.44594594594594594,0.5,0.16216216216216217,0.527027027027027,0.14864864864864866,0.17567567567567569,0.5,0.5,0.4189189189189189,0.33783783783783783,0.05405405405405406,0.25675675675675674,0.08108108108108109,0.40540540540540543,0.2702702702702703,0.12162162162162163,0.25675675675675674,0.12162162162162163,0.43243243243243246,0.16216216216216217,0.4189189189189189,0.10810810810810811,0.47297297297297297,0.20270270270270271,0.02702702702702703,0.05405405405405406,0.10810810810810811,0.5,0.5,0.44594594594594594,0.10810810810810811,0.3918918918918919,0.13513513513513514,0.47297297297297297,0.12162162162162163,0.14864864864864866,0.47297297297297297,0.5,0.13513513513513514,0.12162162162162163,0.17567567567567569,0.14864864864864866,0.44594594594594594,0.47297297297297297,0.4594594594594595,0.17567567567567569,0.02702702702702703,0.08108108108108109,0.47297297297297297,0.17567567567567569,0.13513513513513514,0.4189189189189189,0.5,0.44594594594594594,0.1891891891891892,0.05405405405405406,0.17567567567567569,0.47297297297297297,0.08108108108108109,0.14864864864864866,0.05405405405405406,0.527027027027027,0.4189189189189189,0.13513513513513514,0.47297297297297297,0.44594594594594594,0.13513513513513514,0.12162162162162163,0.12908322810920214
ã,0.3918918918918919,0.14864864864864866,0.14864864864864866,0.3783783783783784,0.40540540540540543,0.3783783783783784,0.2972972972972973,0.43243243243243246,0.0,0.0945945945945946,0.20270270270270271,0.40540540540540543,0.17567567567567569,0.3918918918918919,0.3108108108108108,0.17567567567567569,0.20270270270270271,0.06756756756756757,0.20270270270270271,0.40540540540540543,0.3108108108108108,0.3783783783783784,0.02702702702702703,0.21621621621621623,0.36486486486486486,0.25675675675675674,0.33783783783783783,0.05405405405405406,0.40540540540540543,0.12162162162162163,0.3783783783783784,0.0945945945945946,0.28378378378378377,0.43243243243243246,0.43243243243243246,0.3783783783783784,0.12162162162162163,0.14864864864864866,0.06756756756756757,0.40540540540540543,0.25675675675675674,0.3783783783783784,0.12162162162162163,0.3108108108108108,0.33783783783783783,0.17567567567567569,0.14864864864864866,0.43243243243243246,0.4189189189189189,0.36486486486486486,0.3108108108108108,0.06756756756756757,0.14864864864864866,0.02702702702702703,0.3108108108108108,0.40540540540540543,0.43243243243243246,0.17567567567567569,0.3108108108108108,0.3783783783783784,0.0945945945945946,0.17567567567567569,0.0945945945945946,0.3783783783783784,0.40540540540540543,0.3108108108108108,0.14864864864864866,0.40540540540540543,0.33783783783783783,0.3783783783783784,0.14864864864864866,0.0945945945945946,0.3783783783783784,0.14864864864864866,0.12162162162162163,0.3783783783783784,0.36486486486486486,0.12908322810920214
ĩ,0.40540540540540543,0.10810810810810811,0.05405405405405406,0.3918918918918919,0.4189189189189189,0.3108108108108108,0.3108108108108108,0.44594594594594594,0.0945945945945946,0.0,0.16216216216216217,0.33783783783783783,0.13513513513513514,0.40540540540540543,0.32432432432432434,0.21621621621621623,0.10810810810810811,0.10810810810810811,0.10810810810810811,0.4189189189189189,0.24324324324324326,0.3918918918918919,0.12162162162162163,0.20270270270270271,0.3783783783783784,0.24324324324324326,0.35135135135135137,0.14864864864864866,0.33783783783783783,0.02702702702702703,0.3918918918918919,0.05405405405405406,0.2702702702702703,0.44594594594594594,0.44594594594594594,0.3918918918918919,0.13513513513513514,0.10810810810810811,0.02702702702702703,0.4189189189189189,0.21621621621621623,0.3918918918918919,0.02702702702702703,0.32432432432432434,0.32432432432432434,0.13513513513513514,0.05405405405405406,0.36486486486486486,0.43243243243243246,0.3783783783783784,0.32432432432432434,0.05405405405405406,0.1891891891891892,0.12162162162162163,0.2972972972972973,0.4189189189189189,0.44594594594594594,0.08108108108108109,0.32432432432432434,0.3918918918918919,0.08108108108108109,0.13513513513513514,0.13513513513513514,0.3108108108108108,0.4189189189189189,0.2972972972972973,0.10810810810810811,0.4189189189189189,0.33783783783783783,0.3918918918918919,0.16216216216216217,0.05405405405405406,0.3918918918918919,0.16216216216216217,0.10810810810810811,0.3918918918918919,0.3783783783783784,0.12908322810920214
