,ipa,nosyl
0,kuˊ.ɖ͡ʐ̊o,2
1,kỹˊn̚,1
2,kyˊn̚.d͡z̥ɔp̚,2
3,koˊ,1
4,ceˊ,1
5,cɔˊk̚,1
6,cɔˊk̚.po,2
7,laˊ.lo,2
8,luˊ,1
9,lũˊŋ,1
10,lõˊŋ,1
11,lõˊŋ.ɖ͡ʐ̊ɛ̃n̚,2
12,kaˊ,1
13,kaˊr.b̥o,2
14,køˊn̚.ɖ͡ʐ̊ɔk̚,2
15,ciˊl,1
16,ciˊn̚.g̊ɔr,2
17,ciˊl.mo.ɖ̥ũŋ,3
18,kaˊk̚,1
19,kãˊŋ,1
20,kuˊr,1
21,kuˊr.d̥i,2
22,køˊ,1
23,køˊ.mə,2
24,køˊl,1
25,ʈaˊ.ɕi,2
26,ʈaˊm,1
27,ʈɛ̃ˊn̚,1
28,ʈɛˊ,1
29,kɛ̃ˊn̚,1
30,kyˊn̚.mə,2
31,kɛˊ,1
32,cɛ̃ˊn̚,1
33,kɔˊk̚,1
34,kaˊ.rək̚,2
35,kɛˊ.ɖ͡ʐ̊ik̚,2
36,kəˊp̚,1
37,kaˊm,1
38,kaˊr,1
39,kaˊr.g̊ũŋ,2
40,kaˊr.mə,2
41,kaˊr.d͡z̥i,2
42,kɛˊl,1
43,kuˊ,1
44,keˊ,1
45,keˊ.rək̚,2
46,kɔˊm,1
47,cəˊp̚,1
48,ciˊl.ɖ̥ũŋ,2
49,cuˊ.ru,2
50,cuˊ.ru.rə,3
51,cɛˊm.ɖ͡ʐ̊ɛ,2
52,ceˊ.nɛ,2
53,ceˊ.wo,2
54,cɛˊ,1
55,cɛˊ.b̥u,2
56,coˊ,1
57,cõˊŋ,1
58,cø̃ˊn̚,1
59,ʈaˊ,1
60,ʈãˊŋ,1
61,kyˊl,1
62,kɔˊr,1
63,cøˊ,1
64,kʰaˊ,1
65,kʰaˊ.ɖ͡ʐ̊ik̚,2
66,kʰaˊ.d̥ø̃n̚,2
67,kʰaˊ.d̥ɔk̚,2
68,kʰaˊ.nə.mə.d̥o,4
69,kʰaˊ.sɛ,2
70,kʰaˊ.rɔk̚,2
71,kʰãˊŋ,1
72,kʰəˊp̚,1
73,kʰaˊm,1
74,kʰaˊr.ɕõŋ,2
75,kʰuˊ,1
76,kʰuˊ.d͡z̥ur,2
77,kʰũˊŋ,1
78,kʰũˊŋ.b̥u,2
79,kʰẽˊŋ,1
80,kʰɛˊp̚,1
81,kʰoˊ,1
82,kʰoˊ.nə,2
83,kʰoˊ.wo,2
84,kʰoˊ.lək̚,2
85,kʰõˊŋ,1
86,kʰõˊŋ.d̥õŋ,2
87,kʰɔˊm,1
88,kʰɔˊr.juk̚,2
89,cʰɛˊ,1
90,cʰɛˊ.b̥ər,2
91,cʰəˊp̚,1
92,cʰiˊ,1
93,cʰiˊm,1
94,cʰiˊm.d̥əp̚,2
95,cʰiˊm.d̥ək̚,2
96,cʰuˊ,1
97,cʰũˊŋ,1
98,cʰũˊŋ.ɖ͡ʐ̊ɛ̃n̚,2
99,cʰyˊ,1
100,cʰyˊ.mo,2
101,cʰɛˊ.ɖ͡ʐ̊ək̚,2
102,cʰeˊ.u,2
103,cʰɛˊr,1
104,cʰøˊ,1
105,cʰø̃ˊn̚,1
106,cʰɔˊr,1
107,ʈʰaˊk̚,1
108,ʈʰaˊ.ʈik̚,2
109,ʈʰiˊ,1
110,ʈʰiˊ.ɖ̥ək̚,2
111,ʈʰiˊm,1
112,ʈʰuˊ,1
113,ʈʰøˊ,1
114,ʈʰøˊm.b̥ə,2
115,kʰɛ̃ˊn̚,1
116,kʰɛˊ,1
117,cʰɛ̃ˊn̚,1
118,ʈʰɛˊk̚,1
119,kʰuˊm,1
120,kʰɔˊr,1
121,kʰɔˊr.lo,2
122,ʈʰiˊ.ɕĩŋ,2
123,ʈʰiˊk̚,1
124,ʈʰuˊk̚,1
125,kʰaˋ,1
126,kʰãˋŋ.d̥ək̚,2
127,kʰãˋŋ.ɕik̚,2
128,kʰãˋŋ.sək̚,2
129,kʰɛˋ,1
130,kʰɛ̃ˋn̚,1
131,kʰaˋr.b̥u,2
132,kʰɛˋl,1
133,kʰɛˋl.ɖ͡ʐ̊e,2
134,kʰɛˋl.d̥e,2
135,kʰiˋ.wãŋ,2
136,kʰuˋ,1
137,kʰuˋ.g̊yl,2
138,kʰuˋ.lãŋ,2
139,kʰuˋk̚,1
140,kʰũˋŋ,1
141,kʰũˋŋ.mo,2
142,kʰyˋ,1
143,kʰuˋr,1
144,kʰuˋr.g̊um,2
145,kʰeˋ.sər,2
146,kʰɛˋk̚,1
147,kʰoˋ,1
148,kʰoˋ.g̊əp̚,2
149,kʰoˋ.ɖ͡ʐ̊ə,2
150,kʰoˋ.rim,2
151,kʰõˋŋ,1
152,kʰõˋŋ.mə,2
153,kʰɔˋm,1
154,kʰøˋ,1
155,cʰaˋ.ɟ̊u,2
156,cʰaˋ.nɔm,2
157,cʰuˋr,1
158,cʰɛ̃ˋn̚,1
159,cʰoˋ.mo,2
160,ʈʰaˋk̚,1
161,ʈʰãˋŋ,1
162,ʈʰãˋŋ.mɛ,2
163,ʈʰiˋ,1
164,ʈʰiˋ.g̊uk̚,2
165,ʈʰiˋp̚.mə,2
166,ʈʰuˋ,1
167,ʈʰuˋp̚,1
168,ʈʰoˋ,1
169,ʈʰoˋ.g̊ə,2
170,ʈʰɔˋk̚,1
171,ʈʰõˋŋ,1
172,ʈʰõˋŋ.ɟ̊ɛr,2
173,ʈʰõˋŋ.d̥ɛl,2
174,ʈʰøˋl,1
175,ʈʰøˋ,1
176,ʈʰaˋ,1
177,laˊ.g̊ãŋ,2
178,laˊk̚,1
179,lãˊŋ,1
180,lãˊŋ.ɖ͡ʐ̊ɛ̃n̚,2
181,lãˊŋ.b̥o.ɖ͡ʐ̊e,3
182,lĩˊŋ,1
183,lɛˊ.pəm,2
184,lɛˊŋ.mə,2
185,lɛ̃ˊn̚,1
186,loˊ,1
187,loˊ.b̥ur,2
188,lɔˊk̚,1
189,gaˋ,1
190,gaˋ.d̥ø̃n̚,2
191,guˋ,1
192,guˋ.b̥o,2
193,gũˋŋ,1
194,gỹˋn̚,1
195,geˋ,1
196,gɛˋn.d̥ỹn̚,2
197,geˋ.ɖ͡ʐ̊õŋ,2
198,geˋ.lõŋ,2
199,gõˋŋ,1
200,gøˋ,1
201,gø̃ˋn̚,1
202,ɖaˋ,1
203,ɖaˋ.ɖ͡ʐ̊ɔm,2
204,ɖaˋ.d̥ə,2
205,ɖøˋl,1
206,gɛˋk̚,1
207,ɟiˋ,1
208,ɖãˋŋ,1
209,ɖøˋ,1
210,gɛˋl.me,2
211,gyˋl,1
212,goˋ,1
213,goˋ.wo,2
214,ɟɔˋk̚,1
215,ɖĩˋn̚,1
216,ɖø̃ˋn̚,1
217,gaˋk̚,1
218,gaˋ.ɕik̚,2
219,gɛˋl,1
220,gɔˋk̚,1
221,ɟuˋr,1
222,ɟɛˋ,1
223,ɖaˋm,1
224,ɖaˋm.b̥ə,2
225,ɖiˋp̚,1
226,ɖuˋp̚,1
227,ɖɛˋl,1
228,ɖoˋ,1
229,gɛ̃ˋn̚,1
230,gɛˋn̚.rəp̚,2
231,gyˋ,1
232,gyˋn̚.ɖ͡ʐ̊ãŋ,2
233,gyˋn.ɖ̥um,2
234,ɟaˋ,1
235,ɟaˋ.ɟ̊ɛk̚,2
236,ɟaˋ.g̊ər,2
237,ɟaˋm.d͡z̥o,2
238,ɟãˋŋ,1
239,ɟɛ̃ˋn̚,1
240,ɟəˋp̚,1
241,ɟəˋp̚.jøl,2
242,ɟɛˋl,1
243,ɟɛˋl.ɖ͡ʐ̊ɛ̃n̚,2
244,ɟɛˋl.b̥o,2
245,ɟɛˋl.rik̚,2
246,ɟɛˋl.si,2
247,ɟuˋ,1
248,ɟuˋ.g̊ər,2
249,ɟuˋ.ɖ͡ʐ̊ɛ̃n̚,2
250,ɟuˋ.b̥ỹn̚,2
251,ɟuˋm.d͡z̥ɛ̃n̚,2
252,ɟyˋ,1
253,ɟỹˋn̚,1
254,gaˋ.ɖ͡ʐ̊u,2
255,gãˋŋ.b̥u,2
256,goˋ.ɟ̊y,2
257,gɔˋm,1
258,ɟuˋ.mə,2
259,ɟuˋ.d͡z̥ɛl,2
260,ɖaˋ.ɖ͡ʐ̊ɛ̃n̚,2
261,ɖɔˋk̚,1
262,ɟɛˋ.ɖ͡ʐ̊u,2
263,ɟɛˋ.b̥o,2
264,ŋaˋ,1
265,ŋaˋ.ɟ̊ɛl,2
266,ŋaˋk̚,1
267,ŋãˋŋ,1
268,ŋɛ̃ˋn̚,1
269,ŋɛˋn.ɖ̥o,2
270,ŋɛˋn̚.ŋø̃n̚,2
271,ŋɛˋn̚.sõŋ,2
272,ŋaˋr.nəp̚,2
273,ŋɛˋl,1
274,ŋɛˋ,1
275,ŋuˋr.mik̚,2
276,ŋɛˋ.b̥ər,2
277,ŋoˋ,1
278,ŋoˋ.wo,2
279,ŋoˋ.d͡z̥ə,2
280,ŋoˋ.d͡z̥ər,2
281,ŋyˊl,1
282,ŋøˊ,1
283,ŋøˊ.b̥o,2
284,ŋøˊ.ɕi,2
285,ŋaˊ,1
286,ŋaˊr,1
287,ŋø̃ˊn̚,1
288,ŋøˊn̚.d̥u,2
289,ŋøˊm.b̥ər,2
290,ŋøˊn̚.sum,2
291,ŋuˊp̚,1
292,ŋaˊ.d̥ɛ,2
293,ŋaˊ.mə,2
294,ŋaˊ.røl,2
295,ŋaˊk̚,1
296,ŋoˊ,1
297,ŋøˊn̚.ɖ͡ʐ̊ɛ,2
298,ŋɛˊl,1
